date_time,tweet,spl_char1,spl_char2,is_sarcastic
14-04-2021 23:24,b'@kennygilmour It will become a #Regular spin \xe2\x99\xa5\xef\xb8\x8f\xf0\x9f\x8e\xa7',b'RMeldrum1',b'Scotland',0
08-04-2021 16:34,b'BOSS #newlook \xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x91\x8c\n@VijayEshwar6\n. \n. \n. \n. \nFollow for #regular updates of @VijayEshwar6 sir #exclusively in\xe2\x80\xa6 https://t.co/vRLUTeuhk4',b'ImwithVijayEsh1',b'',0
08-04-2021 08:33,"b'Viking Grumpa like a regular grandpa only grumpier shirt, hoodie\nsee more: https://t.co/5EJLwT0ZDc\n#beutee #regular\xe2\x80\xa6 https://t.co/9uyLp4DLKb'",b'BeuteeS',"b'Brooklyn, US'",0
08-04-2021 07:05,b'All good things come in threes. The textures of Olin give you maximum choice in tactility.\n\n#olinpaper #designpaper\xe2\x80\xa6 https://t.co/gOhPVc5CCe',b'RAprahamian',b'Alsace',0
08-04-2021 06:40,b'Felt that moment \xf0\x9f\x98\x8d\nTag your partner \xf0\x9f\x92\x9e\n\n#bye #hi #hello #hey #talks #sillytalks #finaltouchup #happyworldgoal1\xe2\x80\xa6 https://t.co/NHq3gupw8f',b'HappyWorldGoal1',b'New Delhi',0
08-04-2021 04:02,b'@ashokgehlot51 #regular computer teacher vacancy\n#no job no vote\n#ashokgehlot51',b'abhishekdausa',b'',0
08-04-2021 00:55,b'If you no go talk sense then u no get the features \xf0\x9f\xa4\xa3\xf0\x9f\x98\x85\xf0\x9f\xa4\xa3 herrrr @sarkodie now listening to #Regular ft @mugeez',b'Manasseh_Gh',b'',0
07-04-2021 21:01,"b'@staringispolite so excited, gonna poop everyday leading up to this #regular'",b'jacksondame',b'South Carolina',0
07-04-2021 20:09,b'When you look at the #Kardashians you see how #vain they are &amp; have been from the #beginning but they #talk about\xe2\x80\xa6 https://t.co/cRMnnS1REK',b'ItsMichelle_l_',b'',0
07-04-2021 19:08,"b'Happy #NationalBeerDay often imitated but never duplicated. The only, the best, the original @triplebogeybrewing\xe2\x80\xa6 https://t.co/eESVrc5zEA'",b'Triplebogey',"b'Toronto, Ontario'",0
07-04-2021 18:55,"b'THANK YOU SO MUCH, LORD!!! \n#REGULAR'",b'jepongdee',"b'Lucban, Calabarzon'",0
07-04-2021 18:04,b'New Product Alert! #vegan #seamossgummies #regular #cbd #delta8 #purplehondo #honduras #highlyedibles https://t.co/kbrwfwDZFx',b'Mikemcgeejr',b'milwaukee',0
07-04-2021 18:00,b'Do you hear the bell toll?\n\nComing soon! \n\nCourtesy of @trichome_farmer.lb\n\n#420 #cannabis #cannabisgrowers\xe2\x80\xa6 https://t.co/u5sKWBClXP',b'CoastalMaryVan',b'Vancouver',0
07-04-2021 17:04,b'Check out Vintage BILL BLASS Womens Stretch White Denim Jeans - Size 14 Reg #BillBlass #Regular https://t.co/5NJM7NU21x via @eBay',b'bgbrwneyesNY',"b'Glen Cove, NY'",0
07-04-2021 15:30,"b'@AAbdishakur Being #president it\xe2\x80\x99s full of #sins and it\xe2\x80\x99s not something good by the way for any angles, u have to r\xe2\x80\xa6 https://t.co/eZzaHBNTos'",b'AbkowDr',b'',0
07-04-2021 13:27,b'#Regular ft @imninoman x @da_don_vet   Official video out now \xe2\x9d\x97\xef\xb8\x8f #forevergordo\xf0\x9f\x95\x8a betta called in line #TBM #HITBIO\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xe2\x80\xa6 https://t.co/JkxVvUkcAJ',b'TBM_IZZO',"b'BIG BRONX , NEW YORK'",0
07-04-2021 13:04,b'Week 14 / 2021 Regular Weekly Bulletin of EAFF\nhttps://t.co/JOCmU78Mxg\n#week #regular #weekly #bulletin #eaffeu',b'EaffOrg',b'',0
07-04-2021 12:30,b'Regular dental checkup\nWhy it is important?\nSmile Zone Best Dental Speciality Centre\nWebsite:\xe2\x80\xa6 https://t.co/YAeQteGKWF',b'DrPriyaVerma1',b'',0
07-04-2021 12:02,b'\xf0\x9f\x91\x89 $73.69 \xf0\x9f\x91\x88\nJessica Howard Womens Fit Flare Dress Regular Plus Red 14 Petite @buy1_best\n#Jessica #Howard #Womens\xe2\x80\xa6 https://t.co/n9Ov2O3Eum',b'buy1_best',"b'New York, NY'",0
07-04-2021 10:40,b'4 essential steps for your investment journey. \n#buildyourbluefort #finance #learn #educate #build #protect #future\xe2\x80\xa6 https://t.co/HHybHascIg',b'BluefortL',b'Mumbai',0
07-04-2021 02:49,b'Immaculate Graphics LLC \xe2\x84\xa2 \xf0\x9f\x96\xa4\xf0\x9f\xa4\x8d\xf0\x9f\x92\x95\xf0\x9f\x92\x9b #ImmaculateGraphicsLLC\xe2\x84\xa2\xef\xb8\x8f #Mask #StayCovidFree but make a fashion statement. \xf0\x9f\x96\xa4\xf0\x9f\xa4\x8d\xf0\x9f\x92\x93\xf0\x9f\x92\x9b ...\xe2\x80\xa6 https://t.co/YnCpp0Ju9T',b'immaculategrphx',b'',0
06-04-2021 19:21,b'\xf0\x9f\x91\x89 $63.88 \xf0\x9f\x91\x88\nJessica Howard Womens Shift Dress Regular Petite Plus Black 14 @buy1_best\n#Jessica #Howard #Womens\xe2\x80\xa6 https://t.co/DoWRHaWcfU',b'buy1_best',"b'New York, NY'",0
06-04-2021 19:02,b'\xf0\x9f\x91\x89 $19.59 \xf0\x9f\x91\x88\nJessica Howard Womens ALine Dress Regular Plus Brown Multi 6 @buy1_best\n#Jessica #Howard #Womens #ALine\xe2\x80\xa6 https://t.co/zUmbROJhVG',b'buy1_best',"b'New York, NY'",0
06-04-2021 18:01,"b""We now have the setup to do #regular #videocasts \nWe haven't put too much time into growing our #YouTube #channel\xe2\x80\xa6 https://t.co/bNbypt7eoD""",b'AokWorldwide',b'',0
06-04-2021 18:00,b'Cooking with Healthy UNH: Wonton Cheese Sticks https://t.co/RKN7t7bcj3 #healthy #stick #earlier #estate #entire\xe2\x80\xa6 https://t.co/emZjVVpPmb',b'zzposts',b'United States',0
06-04-2021 13:56,b'\xf0\x9f\x91\x89 $80.32 \xf0\x9f\x91\x88\nSL Fashions Womens Tiered Pebble Dress Petite Regular Sizes Navy 12 @buy1_best\n#SL #Fashions #Womens\xe2\x80\xa6 https://t.co/9j01ozmKmA',b'buy1_best',"b'New York, NY'",0
06-04-2021 13:31,b'\xf0\x9f\x91\x89 $67.65 \xf0\x9f\x91\x88\nJessica Howard Womens Wrap Dress Regular Petite Plus Fuchsia 12 @buy1_best\n#Jessica #Howard #Womens\xe2\x80\xa6 https://t.co/z2DNZ7fE41',b'buy1_best',"b'New York, NY'",0
06-04-2021 11:19,b'Regular Me not expecting your love So mi Straight \xf0\x9f\x9a\xa5\xf0\x9f\x9a\xa6#Regular #Essence #Hot \xf0\x9f\x94\xa5',b'Jayborn_J',"b'Enugu, Nigeria'",0
06-04-2021 10:51,b'People I follow on #twitch are no longer allowed to be #streaming in the #wakinghours Y\xe2\x80\x99all gonna make me late for\xe2\x80\xa6 https://t.co/9aInVnHdgM',b'tabitha_mixon',"b'Tallahassee, FL'",0
06-04-2021 07:23,b'Hey JavaScript community! Our journey into deep waters of #cssInJs continues! \n\n30th #regular #meetup is coming in\xe2\x80\xa6 https://t.co/l2dVnjBvdf',b'ngPartyCz',"b'Prague, Czech Republic'",0
06-04-2021 05:28,b'#regular computer teacher\n@ashokgehlot51 @GovindDotasara',b'deepaks43749434',b'',0
06-04-2021 05:20,b'#regular computer teacher\n@ashokgehlot51',b'deepaks43749434',b'',0
06-04-2021 05:19,b'#regular computer teacher',b'deepaks43749434',b'',0
06-04-2021 04:29,b'Excited to share this item from my #etsy shop: Women\xe2\x80\x99s Faux Leather Jogger Pants with Elastic Waist and Drawstring\xe2\x80\xa6 https://t.co/3brXFOdEn2',b'BPoshbeautybar',"b'Katy, TX'",0
06-04-2021 01:09,b'Check out levis 501 #regular #straightleg #jeans 38x32 tag #Levis #Straight https://t.co/xWFrraDj0B via @eBay',b'dj_konvict512',"b'austin,texas'",0
05-04-2021 23:34,b'Shot my shot #TWICE by a #regular nigga &amp; by a famous #rapper nigga. Got left on #read both times. Never shooting shit #again.',b'lilaxluv',b'Dancing with ishtar \xe2\x9d\x89 17',0
05-04-2021 23:08,b'Pittsburgh has changed mind. Cuddle with human instead.\n#trickedyou #Pittsburgh #kitty #cat #kitten #cuddles\xe2\x80\xa6 https://t.co/vha103tHrP',b'Potatoisacat',"b'Sandpoint, ID'",0
05-04-2021 20:44,"b'@KyleKulinski In terms of #Magnum options, #BareSkin is my go-to choice, #Thin is only kinda thin, &amp; #Regular magnu\xe2\x80\xa6 https://t.co/kNhgOKpyvk'",b'LeoWorldTour',b'Arizona',0
